Deaths_per_Million,C6_Stay_at_home_requirements
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,3
L0_0__4_29L,3
L0_0__4_29L,3
L0_0__4_29L,3
L0_0__4_29L,3
L0_0__4_29L,3
L0_0__4_29L,3
L0_0__4_29L,3
L0_0__4_29L,3
L4_29__8_59L,3
L4_29__8_59L,3
L4_29__8_59L,3
L4_29__8_59L,3
L4_29__8_59L,3
L4_29__8_59L,3
L12_88__17_17L,3
L12_88__17_17L,3
L12_88__17_17L,3
L12_88__17_17L,3
L4_29__8_59L,3
L8_59__12_88L,3
L17_17__21_47L,3
L4_29__8_59L,3
L17_17__21_47L,3
L12_88__17_17L,3
L8_59__12_88L,3
L4_29__8_59L,3
L4_29__8_59L,3
L8_59__12_88L,3
L17_17__21_47L,3
L8_59__12_88L,3
L8_59__12_88L,3
L8_59__12_88L,3
L4_29__8_59L,3
L4_29__8_59L,3
L4_29__8_59L,3
L4_29__8_59L,3
L4_29__8_59L,3
L4_29__8_59L,3
L4_29__8_59L,3
L0_0__4_29L,3
L4_29__8_59L,3
L4_29__8_59L,3
L4_29__8_59L,3
L4_29__8_59L,3
L0_0__4_29L,3
L0_0__4_29L,3
L0_0__4_29L,3
L4_29__8_59L,3
L4_29__8_59L,3
L0_0__4_29L,3
L0_0__4_29L,3
L0_0__4_29L,3
L0_0__4_29L,3
L0_0__4_29L,3
L0_0__4_29L,1
L4_29__8_59L,1
L0_0__4_29L,1
L4_29__8_59L,1
L0_0__4_29L,1
L0_0__4_29L,1
L8_59__12_88L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,1
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
L0_0__4_29L,0
